ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I02,Basic_Index+Texture+Climate:,0.6998,0.5868,0.3345
I02,Basic_Index+Texture+Topography:,0.4332,0.2778,0.1295
I02,Basic_Index+Texture+SocioEconomic:,0.5578,0.4565,0.2594
I02,Basic_Index+Texture+LandCover:,0.3271,0.1868,0.0791
I02,Basic_Index+Temporal+Climate:,0.7029,0.5958,0.3442
I02,Basic_Index+Temporal+Topography:,0.4936,0.3265,0.1789
I02,Basic_Index+Temporal+SocioEconomic:,0.5761,0.4857,0.2893
I02,Basic_Index+Temporal+LandCover:,0.4337,0.2857,0.1787
I02,Basic_Index+Climate+Topography:,0.6907,0.5865,0.3029
I02,Basic_Index+Climate+SocioEconomic:,0.6802,0.5848,0.2523
I02,Basic_Index+Climate+LandCover:,0.6808,0.5816,0.3387
I02,Basic_Index+Topography+SocioEconomic:,0.5803,0.4876,0.2591
I02,Basic_Index+Topography+LandCover:,0.4207,0.2717,0.1327
I02,Basic_Index+SocioEconomic+LandCover:,0.5378,0.4629,0.2751
I02,Texture+Temporal+Climate:,0.7121,0.5772,0.3297
I02,Texture+Temporal+Topography:,0.4793,0.2845,0.1409
I02,Texture+Temporal+SocioEconomic:,0.5584,0.4307,0.2383
I02,Texture+Temporal+LandCover:,0.4201,0.2536,0.1507
I02,Texture+Climate+Topography:,0.7132,0.5812,0.3016
I02,Texture+Climate+SocioEconomic:,0.7081,0.58,0.2516
I02,Texture+Climate+LandCover:,0.6984,0.5756,0.3366
I02,Texture+Topography+SocioEconomic:,0.5731,0.4494,0.2249
I02,Texture+Topography+LandCover:,0.394,0.2441,0.1091
I02,Texture+SocioEconomic+LandCover:,0.5379,0.4216,0.2378
I02,Temporal+Climate+Topography:,0.6661,0.531,0.2521
I02,Temporal+Climate+SocioEconomic:,0.6576,0.536,0.2083
I02,Temporal+Climate+LandCover:,0.6694,0.5551,0.3169
I02,Temporal+Topography+SocioEconomic:,0.5188,0.3865,0.1628
I02,Temporal+Topography+LandCover:,0.4135,0.2489,0.1147
I02,Temporal+SocioEconomic+LandCover:,0.5014,0.4039,0.2209
I02,Climate+Topography+SocioEconomic:,0.6641,0.5478,0.188
I02,Climate+Topography+LandCover:,0.6644,0.5559,0.2856
I02,Climate+SocioEconomic+LandCover:,0.6549,0.5665,0.2473
I02,Topography+SocioEconomic+LandCover:,0.5122,0.4322,0.217
