ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I08,Topography+SocioEconomic+LandCover:,0.8542,0.4593,0.1757
I10,Basic_Index:,0.5612,0.3959,0
I10,Texture:,0.5274,0.3073,0
I10,Temporal:,0.3235,0.0891,0
I10,Climate:,0.4606,0.3061,0
I10,Topography:,0.3503,0.2269,0
I10,SocioEconomic:,0.3196,0.1753,0
I10,LandCover:,0.0233,0.0253,0
I10,Basic_Index+Texture:,0.6811,0.4813,0.1297
I10,Basic_Index+Temporal:,0.7531,0.6551,0.4126
I10,Basic_Index+Climate:,0.8161,0.6396,0.2886
I10,Basic_Index+Topography:,0.6678,0.4711,0.1598
I10,Basic_Index+SocioEconomic:,0.745,0.5979,0.3123
I10,Basic_Index+LandCover:,0.5659,0.4002,0.1896
I10,Texture+Temporal:,0.6373,0.4502,0.252
I10,Texture+Climate:,0.7098,0.4763,0.1696
I10,Texture+Topography:,0.5988,0.3844,0.1173
I10,Texture+SocioEconomic:,0.6261,0.395,0.1537
I10,Texture+LandCover:,0.5309,0.311,0.1447
I10,Temporal+Climate:,0.4932,0.2823,0.0847
I10,Temporal+Topography:,0.4272,0.2086,0.0506
I10,Temporal+SocioEconomic:,0.4042,0.1744,0.0421
I10,Temporal+LandCover:,0.3281,0.1371,0.0799
I10,Climate+Topography:,0.4962,0.3254,0.0589
I10,Climate+SocioEconomic:,0.4846,0.3152,0.0744
I10,Climate+LandCover:,0.467,0.3036,0.1379
I10,Topography+SocioEconomic:,0.4208,0.2554,0.0543
I10,Topography+LandCover:,0.3571,0.2438,0.1177
I10,SocioEconomic+LandCover:,0.3143,0.1865,0.0862
I10,Basic_Index+Texture+Temporal:,0.7756,0.6738,0.4097
I10,Basic_Index+Texture+Climate:,0.8456,0.6608,0.3244
I10,Basic_Index+Texture+Topography:,0.7265,0.5279,0.2179
I10,Basic_Index+Texture+SocioEconomic:,0.7799,0.615,0.3222
I10,Basic_Index+Texture+LandCover:,0.6826,0.4833,0.2405
I10,Basic_Index+Temporal+Climate:,0.865,0.7217,0.458
I10,Basic_Index+Temporal+Topography:,0.7852,0.6758,0.4386
I10,Basic_Index+Temporal+SocioEconomic:,0.8221,0.6994,0.4793
I10,Basic_Index+Temporal+LandCover:,0.7516,0.6566,0.4865
I10,Basic_Index+Climate+Topography:,0.8285,0.6505,0.3409
I10,Basic_Index+Climate+SocioEconomic:,0.8173,0.6425,0.35
I10,Basic_Index+Climate+LandCover:,0.8168,0.6417,0.3993
I10,Basic_Index+Topography+SocioEconomic:,0.7655,0.5998,0.3338
I10,Basic_Index+Topography+LandCover:,0.6714,0.476,0.2599
I10,Basic_Index+SocioEconomic+LandCover:,0.7459,0.6021,0.4032
I10,Texture+Temporal+Climate:,0.745,0.5373,0.3032
I10,Texture+Temporal+Topography:,0.6759,0.4923,0.2846
I10,Texture+Temporal+SocioEconomic:,0.6811,0.4785,0.2879
I10,Texture+Temporal+LandCover:,0.6386,0.4533,0.3127
I10,Texture+Climate+Topography:,0.7289,0.4973,0.2172
I10,Texture+Climate+SocioEconomic:,0.7103,0.4922,0.2293
I10,Texture+Climate+LandCover:,0.7114,0.4772,0.2643
I10,Texture+Topography+SocioEconomic:,0.6608,0.4341,0.1977
I10,Texture+Topography+LandCover:,0.6012,0.3875,0.201
I10,Texture+SocioEconomic+LandCover:,0.6284,0.395,0.2257
I10,Temporal+Climate+Topography:,0.5215,0.307,0.0996
I10,Temporal+Climate+SocioEconomic:,0.5059,0.2955,0.1053
I10,Temporal+Climate+LandCover:,0.5019,0.3131,0.1729
I10,Temporal+Topography+SocioEconomic:,0.4628,0.2358,0.072
I10,Temporal+Topography+LandCover:,0.437,0.2422,0.1284
I10,Temporal+SocioEconomic+LandCover:,0.405,0.211,0.1144
I10,Climate+Topography+SocioEconomic:,0.5092,0.3355,0.0994
I10,Climate+Topography+LandCover:,0.4987,0.3275,0.1414
I10,Climate+SocioEconomic+LandCover:,0.4874,0.313,0.1441
I10,Topography+SocioEconomic+LandCover:,0.4234,0.2659,0.1234
I11,Basic_Index:,0.8817,0.3752,0
I11,Texture:,0.8187,0.3779,0
I11,Temporal:,0.6341,0.1574,0
I11,Climate:,0.7526,0.4286,0
I11,Topography:,0.7608,0.4217,0
I11,SocioEconomic:,0.6791,0.2692,0
I11,LandCover:,0.1654,0.1805,0
I11,Basic_Index+Texture:,0.9266,0.5908,0.2143
I11,Basic_Index+Temporal:,0.9552,0.7483,0.482
I11,Basic_Index+Climate:,0.933,0.67,0.2681
I11,Basic_Index+Topography:,0.9228,0.4765,0.0781
I11,Basic_Index+SocioEconomic:,0.925,0.6218,0.2996
I11,Basic_Index+LandCover:,0.8902,0.4012,0.1234
I11,Texture+Temporal:,0.9032,0.4767,0.2091
I11,Texture+Climate:,0.9038,0.5682,0.1649
I11,Texture+Topography:,0.9068,0.55,0.1502
I11,Texture+SocioEconomic:,0.8817,0.5067,0.1831
I11,Texture+LandCover:,0.8806,0.432,0.1528
I11,Temporal+Climate:,0.8135,0.4608,0.1678
I11,Temporal+Topography:,0.7237,0.3352,0.0457
I11,Temporal+SocioEconomic:,0.7751,0.3916,0.1783
I11,Temporal+LandCover:,0.6731,0.2795,0.1106
I11,Climate+Topography:,0.8369,0.5705,0.1453
I11,Climate+SocioEconomic:,0.7966,0.4893,0.1403
I11,Climate+LandCover:,0.7888,0.4619,0.1573
I11,Topography+SocioEconomic:,0.7926,0.5274,0.1819
I11,Topography+LandCover:,0.7611,0.4378,0.1368
I11,SocioEconomic+LandCover:,0.7224,0.3375,0.1126
I11,Basic_Index+Texture+Temporal:,0.9548,0.761,0.4575
I11,Basic_Index+Texture+Climate:,0.9429,0.6964,0.3025
I11,Basic_Index+Texture+Topography:,0.9334,0.6565,0.2649
I11,Basic_Index+Texture+SocioEconomic:,0.9328,0.6621,0.3213
I11,Basic_Index+Texture+LandCover:,0.9286,0.6092,0.298
I11,Basic_Index+Temporal+Climate:,0.9539,0.7753,0.4549
I11,Basic_Index+Temporal+Topography:,0.9652,0.7792,0.4612
I11,Basic_Index+Temporal+SocioEconomic:,0.9561,0.785,0.5177
I11,Basic_Index+Temporal+LandCover:,0.9561,0.7537,0.5161
I11,Basic_Index+Climate+Topography:,0.9431,0.6409,0.2324
I11,Basic_Index+Climate+SocioEconomic:,0.935,0.6843,0.3266
I11,Basic_Index+Climate+LandCover:,0.933,0.6678,0.3397
I11,Basic_Index+Topography+SocioEconomic:,0.9403,0.6078,0.2524
I11,Basic_Index+Topography+LandCover:,0.9242,0.4925,0.1667
I11,Basic_Index+SocioEconomic+LandCover:,0.9258,0.6107,0.3357
I11,Texture+Temporal+Climate:,0.9319,0.6235,0.3022
I11,Texture+Temporal+Topography:,0.9161,0.5346,0.2156
I11,Texture+Temporal+SocioEconomic:,0.9091,0.5196,0.2514
I11,Texture+Temporal+LandCover:,0.9197,0.4903,0.2517
I11,Texture+Climate+Topography:,0.9441,0.649,0.2396
I11,Texture+Climate+SocioEconomic:,0.9136,0.6033,0.2447
I11,Texture+Climate+LandCover:,0.9287,0.5386,0.2096
I11,Texture+Topography+SocioEconomic:,0.9218,0.5754,0.2192
I11,Texture+Topography+LandCover:,0.9266,0.5823,0.2556
I11,Texture+SocioEconomic+LandCover:,0.9154,0.475,0.1991
I11,Temporal+Climate+Topography:,0.8153,0.5752,0.2393
I11,Temporal+Climate+SocioEconomic:,0.8234,0.4913,0.2063
I11,Temporal+Climate+LandCover:,0.8264,0.4858,0.2303
I11,Temporal+Topography+SocioEconomic:,0.7747,0.4828,0.2
I11,Temporal+Topography+LandCover:,0.7339,0.4049,0.1518
I11,Temporal+SocioEconomic+LandCover:,0.7712,0.4521,0.2497
I11,Climate+Topography+SocioEconomic:,0.8368,0.551,0.1778
I11,Climate+Topography+LandCover:,0.834,0.5675,0.2239
I11,Climate+SocioEconomic+LandCover:,0.8123,0.4695,0.1767
I11,Topography+SocioEconomic+LandCover:,0.7941,0.5347,0.2443
I12,Basic_Index:,0.6877,0.4612,0
I12,Texture:,0.7558,0.5151,0
I12,Temporal:,0.3366,0.0664,0
I12,Climate:,0.6368,0.4873,0
I12,Topography:,0.4977,0.2981,0
I12,SocioEconomic:,0.5434,0.3584,0
I12,LandCover:,0.0306,0.0309,0
I12,Basic_Index+Texture:,0.8151,0.6185,0.1304
I12,Basic_Index+Temporal:,0.8007,0.6938,0.43
I12,Basic_Index+Climate:,0.9033,0.7751,0.3008
I12,Basic_Index+Topography:,0.8545,0.6161,0.2364
I12,Basic_Index+SocioEconomic:,0.8263,0.6346,0.2248
I12,Basic_Index+LandCover:,0.7015,0.4645,0.2185
I12,Texture+Temporal:,0.793,0.5609,0.2702
I12,Texture+Climate:,0.8881,0.7041,0.2029
I12,Texture+Topography:,0.8668,0.6138,0.2072
I12,Texture+SocioEconomic:,0.7942,0.5646,0.1279
I12,Texture+LandCover:,0.7595,0.5257,0.2528
I12,Temporal+Climate:,0.683,0.457,0.1801
I12,Temporal+Topography:,0.4963,0.2398,0.0576
I12,Temporal+SocioEconomic:,0.5515,0.2829,0.0705
I12,Temporal+LandCover:,0.3658,0.0879,0.0393
I12,Climate+Topography:,0.691,0.515,0.1223
I12,Climate+SocioEconomic:,0.6748,0.5051,0.0823
I12,Climate+LandCover:,0.6499,0.5021,0.243
I12,Topography+SocioEconomic:,0.5748,0.3789,0.0506
I12,Topography+LandCover:,0.501,0.3098,0.1453
I12,SocioEconomic+LandCover:,0.5521,0.3681,0.1735
I12,Basic_Index+Texture+Temporal:,0.8396,0.7195,0.372
I12,Basic_Index+Texture+Climate:,0.9201,0.7859,0.2981
I12,Basic_Index+Texture+Topography:,0.9123,0.706,0.2812
I12,Basic_Index+Texture+SocioEconomic:,0.8456,0.6699,0.2251
I12,Basic_Index+Texture+LandCover:,0.8167,0.6176,0.2819
I12,Basic_Index+Temporal+Climate:,0.932,0.8425,0.5042
I12,Basic_Index+Temporal+Topography:,0.9261,0.7509,0.4757
I12,Basic_Index+Temporal+SocioEconomic:,0.8326,0.7309,0.4356
I12,Basic_Index+Temporal+LandCover:,0.8043,0.6908,0.5046
I12,Basic_Index+Climate+Topography:,0.9037,0.7734,0.3578
I12,Basic_Index+Climate+SocioEconomic:,0.9086,0.7876,0.3519
I12,Basic_Index+Climate+LandCover:,0.9034,0.7767,0.4503
I12,Basic_Index+Topography+SocioEconomic:,0.886,0.6859,0.3134
I12,Basic_Index+Topography+LandCover:,0.8573,0.6192,0.3559
I12,Basic_Index+SocioEconomic+LandCover:,0.8262,0.6367,0.3532
I12,Texture+Temporal+Climate:,0.8885,0.7173,0.3611
I12,Texture+Temporal+Topography:,0.885,0.6467,0.3535
I12,Texture+Temporal+SocioEconomic:,0.8038,0.5867,0.2734
I12,Texture+Temporal+LandCover:,0.7948,0.5634,0.3593
I12,Texture+Climate+Topography:,0.8884,0.7164,0.2829
I12,Texture+Climate+SocioEconomic:,0.8886,0.7102,0.2566
I12,Texture+Climate+LandCover:,0.8891,0.7073,0.3628
I12,Texture+Topography+SocioEconomic:,0.8781,0.6472,0.2567
I12,Texture+Topography+LandCover:,0.8674,0.6146,0.3333
I12,Texture+SocioEconomic+LandCover:,0.7944,0.5707,0.2692
I12,Temporal+Climate+Topography:,0.6936,0.5038,0.2199
I12,Temporal+Climate+SocioEconomic:,0.6898,0.4716,0.1675
I12,Temporal+Climate+LandCover:,0.6904,0.467,0.2721
I12,Temporal+Topography+SocioEconomic:,0.5702,0.3664,0.1255
I12,Temporal+Topography+LandCover:,0.4995,0.2638,0.132
I12,Temporal+SocioEconomic+LandCover:,0.5459,0.293,0.1412
I12,Climate+Topography+SocioEconomic:,0.7038,0.5308,0.1496
I12,Climate+Topography+LandCover:,0.6935,0.5195,0.2474
I12,Climate+SocioEconomic+LandCover:,0.6802,0.5143,0.2221
I12,Topography+SocioEconomic+LandCover:,0.573,0.3791,0.15
I14,Basic_Index:,0.889,0.64,0
I14,Texture:,0.8206,0.5585,0
I14,Temporal:,0.3867,0.0887,0
I14,Climate:,0.5797,0.2523,0
I14,Topography:,0.5984,0.3699,0
I14,SocioEconomic:,0.4025,0.1635,0
I14,LandCover:,0.0537,0.0264,0
I14,Basic_Index+Texture:,0.9304,0.6993,0.1001
I14,Basic_Index+Temporal:,0.9509,0.8021,0.4378
I14,Basic_Index+Climate:,0.9215,0.7191,0.2729
I14,Basic_Index+Topography:,0.9193,0.7225,0.2176
I14,Basic_Index+SocioEconomic:,0.9171,0.6924,0.2906
I14,Basic_Index+LandCover:,0.8906,0.6482,0.315
I14,Texture+Temporal:,0.8633,0.6107,0.2872
I14,Texture+Climate:,0.88,0.6027,0.1973
I14,Texture+Topography:,0.887,0.6372,0.173
I14,Texture+SocioEconomic:,0.8474,0.6043,0.2433
I14,Texture+LandCover:,0.8198,0.554,0.2616
I14,Temporal+Climate:,0.6516,0.2299,0.0594
I14,Temporal+Topography:,0.5873,0.2522,0.0229
I14,Temporal+SocioEconomic:,0.4717,0.134,0.0079
I14,Temporal+LandCover:,0.4271,0.1253,0.0678
I14,Climate+Topography:,0.6698,0.3041,-0.007
I14,Climate+SocioEconomic:,0.5982,0.2935,0.0856
I14,Climate+LandCover:,0.5959,0.2645,0.1251
I14,Topography+SocioEconomic:,0.5892,0.2556,-0.0111
I14,Topography+LandCover:,0.6053,0.3664,0.1683
I14,SocioEconomic+LandCover:,0.4073,0.1633,0.0683
I14,Basic_Index+Texture+Temporal:,0.9585,0.8131,0.3841
I14,Basic_Index+Texture+Climate:,0.939,0.7452,0.2616
I14,Basic_Index+Texture+Topography:,0.9347,0.7428,0.22
I14,Basic_Index+Texture+SocioEconomic:,0.938,0.728,0.274
I14,Basic_Index+Texture+LandCover:,0.9304,0.704,0.2957
I14,Basic_Index+Temporal+Climate:,0.9474,0.8116,0.4846
I14,Basic_Index+Temporal+Topography:,0.9486,0.8051,0.4389
I14,Basic_Index+Temporal+SocioEconomic:,0.9525,0.8079,0.5105
I14,Basic_Index+Temporal+LandCover:,0.9512,0.8027,0.551
I14,Basic_Index+Climate+Topography:,0.9256,0.7388,0.318
I14,Basic_Index+Climate+SocioEconomic:,0.9289,0.738,0.3861
I14,Basic_Index+Climate+LandCover:,0.9216,0.7141,0.4078
I14,Basic_Index+Topography+SocioEconomic:,0.9302,0.7224,0.3313
I14,Basic_Index+Topography+LandCover:,0.9202,0.7169,0.3714
I14,Basic_Index+SocioEconomic+LandCover:,0.9178,0.6988,0.4222
I14,Texture+Temporal+Climate:,0.8999,0.6516,0.3518
I14,Texture+Temporal+Topography:,0.9012,0.6664,0.3273
I14,Texture+Temporal+SocioEconomic:,0.8694,0.6384,0.3682
I14,Texture+Temporal+LandCover:,0.8648,0.6155,0.391
I14,Texture+Climate+Topography:,0.8982,0.6393,0.2457
I14,Texture+Climate+SocioEconomic:,0.8833,0.6366,0.3118
I14,Texture+Climate+LandCover:,0.8794,0.6036,0.3246
I14,Texture+Topography+SocioEconomic:,0.8922,0.6426,0.2786
I14,Texture+Topography+LandCover:,0.8885,0.6409,0.3227
I14,Texture+SocioEconomic+LandCover:,0.8467,0.6073,0.3579
I14,Temporal+Climate+Topography:,0.6803,0.2887,0.0518
I14,Temporal+Climate+SocioEconomic:,0.632,0.2679,0.0997
I14,Temporal+Climate+LandCover:,0.6492,0.2578,0.1353
I14,Temporal+Topography+SocioEconomic:,0.5918,0.2382,0.0309
I14,Temporal+Topography+LandCover:,0.6003,0.2866,0.1249
I14,Temporal+SocioEconomic+LandCover:,0.4791,0.178,0.0851
I14,Climate+Topography+SocioEconomic:,0.6527,0.3079,0.046
I14,Climate+Topography+LandCover:,0.6661,0.3203,0.1041
I14,Climate+SocioEconomic+LandCover:,0.598,0.2896,0.1422
I14,Topography+SocioEconomic+LandCover:,0.5912,0.2905,0.1039
I15,Basic_Index:,0.7608,0.5806,0
I15,Texture:,0.7327,0.5078,0
I15,Temporal:,0.1542,0.0195,0
I15,Climate:,0.3267,0.2133,0
I15,Topography:,0.3546,0.2056,0
I15,SocioEconomic:,0.2729,0.1383,0
I15,LandCover:,0.0613,0.0456,0
I15,Basic_Index+Texture:,0.8588,0.6526,0.1084
I15,Basic_Index+Temporal:,0.8664,0.7123,0.4123
I15,Basic_Index+Climate:,0.8374,0.6826,0.2856
I15,Basic_Index+Topography:,0.8291,0.6452,0.2521
I15,Basic_Index+SocioEconomic:,0.819,0.6384,0.279
I15,Basic_Index+LandCover:,0.7669,0.5896,0.2765
I15,Texture+Temporal:,0.7753,0.5648,0.3011
I15,Texture+Climate:,0.7895,0.5853,0.2247
I15,Texture+Topography:,0.8093,0.6004,0.2437
I15,Texture+SocioEconomic:,0.7616,0.5372,0.2141
I15,Texture+LandCover:,0.7337,0.5151,0.2383
I15,Temporal+Climate:,0.3471,0.172,0.0555
I15,Temporal+Topography:,0.3616,0.1741,0.0615
I15,Temporal+SocioEconomic:,0.2805,0.1059,0.0269
I15,Temporal+LandCover:,0.2167,0.0705,0.0379
I15,Climate+Topography:,0.4027,0.2406,0.0312
I15,Climate+SocioEconomic:,0.3708,0.2249,0.049
I15,Climate+LandCover:,0.3387,0.2006,0.0711
I15,Topography+SocioEconomic:,0.3924,0.2367,0.0648
I15,Topography+LandCover:,0.3824,0.2398,0.1142
I15,SocioEconomic+LandCover:,0.265,0.1469,0.0549
I15,Basic_Index+Texture+Temporal:,0.9076,0.7654,0.3961
I15,Basic_Index+Texture+Climate:,0.8852,0.7176,0.2836
I15,Basic_Index+Texture+Topography:,0.8921,0.7077,0.2764
I15,Basic_Index+Texture+SocioEconomic:,0.8749,0.6775,0.2685
I15,Basic_Index+Texture+LandCover:,0.8605,0.6543,0.2763
I15,Basic_Index+Temporal+Climate:,0.8873,0.7404,0.4692
I15,Basic_Index+Temporal+Topography:,0.9066,0.7604,0.4919
I15,Basic_Index+Temporal+SocioEconomic:,0.8768,0.7298,0.4836
I15,Basic_Index+Temporal+LandCover:,0.8679,0.7158,0.5005
I15,Basic_Index+Climate+Topography:,0.8637,0.6938,0.3606
I15,Basic_Index+Climate+SocioEconomic:,0.8506,0.6873,0.3766
I15,Basic_Index+Climate+LandCover:,0.8385,0.6802,0.4003
I15,Basic_Index+Topography+SocioEconomic:,0.8545,0.6708,0.3626
I15,Basic_Index+Topography+LandCover:,0.832,0.6478,0.3705
I15,Basic_Index+SocioEconomic+LandCover:,0.8211,0.641,0.3861
I15,Texture+Temporal+Climate:,0.8131,0.6114,0.3645
I15,Texture+Temporal+Topography:,0.837,0.639,0.3947
I15,Texture+Temporal+SocioEconomic:,0.7905,0.5787,0.3568
I15,Texture+Temporal+LandCover:,0.7755,0.5692,0.3782
I15,Texture+Climate+Topography:,0.8209,0.6185,0.3096
I15,Texture+Climate+SocioEconomic:,0.7852,0.5917,0.3052
I15,Texture+Climate+LandCover:,0.7887,0.5866,0.331
I15,Texture+Topography+SocioEconomic:,0.8103,0.6066,0.3226
I15,Texture+Topography+LandCover:,0.8084,0.6008,0.3478
I15,Texture+SocioEconomic+LandCover:,0.7617,0.5409,0.3102
I15,Temporal+Climate+Topography:,0.406,0.2267,0.0806
I15,Temporal+Climate+SocioEconomic:,0.3735,0.1967,0.073
I15,Temporal+Climate+LandCover:,0.3544,0.182,0.0892
I15,Temporal+Topography+SocioEconomic:,0.4048,0.2222,0.101
I15,Temporal+Topography+LandCover:,0.3833,0.2135,0.1232
I15,Temporal+SocioEconomic+LandCover:,0.297,0.1358,0.068
I15,Climate+Topography+SocioEconomic:,0.4251,0.2654,0.0796
I15,Climate+Topography+LandCover:,0.4128,0.2573,0.1024
I15,Climate+SocioEconomic+LandCover:,0.3564,0.2157,0.0832
I15,Topography+SocioEconomic+LandCover:,0.4013,0.2531,0.1233
I16,Basic_Index:,0.8436,0.3803,0
I16,Texture:,0.8599,0.2545,0
I16,Temporal:,0.5656,0.0884,0
I16,Climate:,0.5542,0.0817,0
I16,Topography:,0.9192,0.8057,0
I16,SocioEconomic:,0.5958,0.0062,0
I16,LandCover:,0.0768,0.0139,0
I16,Basic_Index+Texture:,0.8816,0.4248,0.1074
I16,Basic_Index+Temporal:,0.9229,0.5492,0.3149
I16,Basic_Index+Climate:,0.9075,0.4506,0.2196
I16,Basic_Index+Topography:,0.9337,0.6855,0.0925
I16,Basic_Index+SocioEconomic:,0.9089,0.4487,0.2555
I16,Basic_Index+LandCover:,0.8986,0.4472,0.25
I16,Texture+Temporal:,0.8854,0.4349,0.2635
I16,Texture+Climate:,0.8674,0.402,0.2339
I16,Texture+Topography:,0.927,0.5787,0.0486
I16,Texture+SocioEconomic:,0.8883,0.3627,0.2323
I16,Texture+LandCover:,0.8786,0.3717,0.2375
I16,Temporal+Climate:,0.6246,0.182,0.0969
I16,Temporal+Topography:,0.8048,0.482,0.0349
I16,Temporal+SocioEconomic:,0.6129,0.1195,0.0722
I16,Temporal+LandCover:,0.5981,0.0822,0.031
I16,Climate+Topography:,0.8513,0.4516,0.0078
I16,Climate+SocioEconomic:,0.6538,0.0273,-0.0166
I16,Climate+LandCover:,0.6027,0.13,0.0822
I16,Topography+SocioEconomic:,0.8703,0.4972,0.0912
I16,Topography+LandCover:,0.9067,0.7761,0.3662
I16,SocioEconomic+LandCover:,0.6355,0.0301,0.0201
I16,Basic_Index+Texture+Temporal:,0.9306,0.5757,0.3346
I16,Basic_Index+Texture+Climate:,0.9035,0.5098,0.2709
I16,Basic_Index+Texture+Topography:,0.9226,0.6396,0.1594
I16,Basic_Index+Texture+SocioEconomic:,0.9135,0.4632,0.2496
I16,Basic_Index+Texture+LandCover:,0.9254,0.4961,0.2798
I16,Basic_Index+Temporal+Climate:,0.935,0.5572,0.3737
I16,Basic_Index+Temporal+Topography:,0.9432,0.6289,0.2041
I16,Basic_Index+Temporal+SocioEconomic:,0.9388,0.5871,0.4288
I16,Basic_Index+Temporal+LandCover:,0.9277,0.5785,0.4176
I16,Basic_Index+Climate+Topography:,0.926,0.6012,0.1787
I16,Basic_Index+Climate+SocioEconomic:,0.917,0.4171,0.261
I16,Basic_Index+Climate+LandCover:,0.9265,0.4988,0.3402
I16,Basic_Index+Topography+SocioEconomic:,0.9335,0.5711,0.1737
I16,Basic_Index+Topography+LandCover:,0.9419,0.6525,0.2525
I16,Basic_Index+SocioEconomic+LandCover:,0.9214,0.5453,0.4118
I16,Texture+Temporal+Climate:,0.8914,0.5174,0.3758
I16,Texture+Temporal+Topography:,0.9218,0.6197,0.2368
I16,Texture+Temporal+SocioEconomic:,0.8944,0.4503,0.334
I16,Texture+Temporal+LandCover:,0.8841,0.4459,0.327
I16,Texture+Climate+Topography:,0.9036,0.5694,0.1887
I16,Texture+Climate+SocioEconomic:,0.8872,0.3796,0.2655
I16,Texture+Climate+LandCover:,0.8893,0.455,0.3382
I16,Texture+Topography+SocioEconomic:,0.9255,0.5542,0.1987
I16,Texture+Topography+LandCover:,0.9262,0.5924,0.2343
I16,Texture+SocioEconomic+LandCover:,0.8919,0.4086,0.317
I16,Temporal+Climate+Topography:,0.8409,0.4321,0.1069
I16,Temporal+Climate+SocioEconomic:,0.647,0.151,0.0922
I16,Temporal+Climate+LandCover:,0.6507,0.2093,0.148
I16,Temporal+Topography+SocioEconomic:,0.8295,0.405,0.1049
I16,Temporal+Topography+LandCover:,0.8049,0.4818,0.1791
I16,Temporal+SocioEconomic+LandCover:,0.6499,0.1381,0.102
I16,Climate+Topography+SocioEconomic:,0.8612,0.3919,0.0941
I16,Climate+Topography+LandCover:,0.8572,0.4873,0.1869
I16,Climate+SocioEconomic+LandCover:,0.6765,0.1057,0.0717
I16,Topography+SocioEconomic+LandCover:,0.874,0.5141,0.2388
I17,Basic_Index:,0.8234,0.6112,0
I17,Texture:,0.7528,0.4803,0
I17,Temporal:,0.4061,0.0691,0
I17,Climate:,0.4315,0.2294,0
I17,Topography:,0.6925,0.5414,0
I17,SocioEconomic:,0.3247,0.174,0
I17,LandCover:,0.0629,0.0647,0
I17,Basic_Index+Texture:,0.9053,0.6857,0.14
I17,Basic_Index+Temporal:,0.9025,0.7008,0.3607
I17,Basic_Index+Climate:,0.8997,0.6841,0.2639
I17,Basic_Index+Topography:,0.893,0.6746,0.0983
I17,Basic_Index+SocioEconomic:,0.8791,0.6535,0.2609
I17,Basic_Index+LandCover:,0.8298,0.6151,0.2771
I17,Texture+Temporal:,0.8253,0.5559,0.2812
I17,Texture+Climate:,0.7981,0.5412,0.1864
I17,Texture+Topography:,0.8399,0.5886,0.0777
I17,Texture+SocioEconomic:,0.7824,0.529,0.2019
I17,Texture+LandCover:,0.7692,0.5004,0.2279
I17,Temporal+Climate:,0.5287,0.2444,0.0952
I17,Temporal+Topography:,0.6578,0.4121,0.1068
I17,Temporal+SocioEconomic:,0.5262,0.2122,0.0907
I17,Temporal+LandCover:,0.4416,0.1253,0.0584
I17,Climate+Topography:,0.6313,0.39,0.0046
I17,Climate+SocioEconomic:,0.5121,0.2633,0.0616
I17,Climate+LandCover:,0.458,0.2303,0.0833
I17,Topography+SocioEconomic:,0.6441,0.4053,0.0476
I17,Topography+LandCover:,0.6882,0.547,0.244
I17,SocioEconomic+LandCover:,0.3699,0.1745,0.0552
I17,Basic_Index+Texture+Temporal:,0.9365,0.7352,0.3483
I17,Basic_Index+Texture+Climate:,0.926,0.7126,0.2723
I17,Basic_Index+Texture+Topography:,0.9195,0.706,0.1617
I17,Basic_Index+Texture+SocioEconomic:,0.9192,0.6886,0.2668
I17,Basic_Index+Texture+LandCover:,0.9059,0.6867,0.3013
I17,Basic_Index+Temporal+Climate:,0.933,0.7259,0.4227
I17,Basic_Index+Temporal+Topography:,0.9297,0.7295,0.3223
I17,Basic_Index+Temporal+SocioEconomic:,0.9115,0.7132,0.4285
I17,Basic_Index+Temporal+LandCover:,0.9059,0.6999,0.4516
I17,Basic_Index+Climate+Topography:,0.9101,0.702,0.2413
I17,Basic_Index+Climate+SocioEconomic:,0.9092,0.7003,0.3621
I17,Basic_Index+Climate+LandCover:,0.9007,0.6864,0.3846
I17,Basic_Index+Topography+SocioEconomic:,0.9118,0.6782,0.236
I17,Basic_Index+Topography+LandCover:,0.8944,0.6723,0.2666
I17,Basic_Index+SocioEconomic+LandCover:,0.8808,0.6601,0.3768
I17,Texture+Temporal+Climate:,0.8424,0.5808,0.3212
I17,Texture+Temporal+Topography:,0.8677,0.6356,0.272
I17,Texture+Temporal+SocioEconomic:,0.8366,0.5765,0.3354
I17,Texture+Temporal+LandCover:,0.8336,0.5657,0.3611
I17,Texture+Climate+Topography:,0.8462,0.6003,0.1833
I17,Texture+Climate+SocioEconomic:,0.8048,0.5621,0.2676
I17,Texture+Climate+LandCover:,0.8123,0.5502,0.2921
I17,Texture+Topography+SocioEconomic:,0.844,0.5982,0.1996
I17,Texture+Topography+LandCover:,0.8418,0.5903,0.2282
I17,Texture+SocioEconomic+LandCover:,0.794,0.5418,0.3022
I17,Temporal+Climate+Topography:,0.6566,0.3904,0.1104
I17,Temporal+Climate+SocioEconomic:,0.59,0.2823,0.1248
I17,Temporal+Climate+LandCover:,0.5528,0.2702,0.1491
I17,Temporal+Topography+SocioEconomic:,0.6682,0.4029,0.1414
I17,Temporal+Topography+LandCover:,0.6628,0.4341,0.209
I17,Temporal+SocioEconomic+LandCover:,0.5359,0.2416,0.139
I17,Climate+Topography+SocioEconomic:,0.6562,0.3795,0.0646
I17,Climate+Topography+LandCover:,0.6318,0.3979,0.1194
I17,Climate+SocioEconomic+LandCover:,0.525,0.2623,0.1063
I17,Topography+SocioEconomic+LandCover:,0.6472,0.4157,0.1557
I18,Basic_Index:,0.8772,0.6347,0
I18,Texture:,0.8912,0.5846,0
I18,Temporal:,0.426,0.0152,0
I18,Climate:,0.5484,0.1305,0
I18,Topography:,0.5064,0.3491,0
I18,SocioEconomic:,0.352,0.1217,0
