eco_region_id	eco_region_name	year	loss_area_km2	loss_area_ha	pixel_count	forest_area_2000_km2
5	I05	2015	275.1140497080882	27511.40497080882	411.7843137254902	14192.612305124774
5	I05	2016	239.95841855735327	23995.841855735325	359.72549019607845	14192.612305124774
5	I05	2017	348.09972403848036	34809.972403848034	520.7725490196079	14192.612305124774
5	I05	2018	411.96006443798996	41196.00644379899	612.4509803921568	14192.612305124774
5	I05	2019	265.16496575539213	26516.49657553921	395.12941176470594	14192.612305124774
5	I05	2020	249.14510982451006	24914.510982451007	372.34509803921577	14192.612305124774
6	I07	2001	1035.7280518649522	103572.80518649523	1545.0980392156866	58797.05359726635
6	I07	2002	629.6648901098046	62966.489010980455	953.8470588235296	58797.05359726635
6	I07	2003	690.5292207928901	69052.92207928901	1036.0823529411764	58797.05359726635
6	I07	2004	478.60848071813746	47860.84807181374	715.956862745098	58797.05359726635
6	I07	2005	659.6368608357836	65963.68608357836	989.1843137254901	58797.05359726635
6	I07	2006	761.1084318943608	76110.84318943608	1137.3098039215686	58797.05359726635
6	I07	2007	581.8123520362742	58181.235203627424	877.4627450980392	58797.05359726635
6	I07	2008	749.9927153772047	74999.27153772047	1119.4156862745099	58797.05359726635
6	I07	2009	496.6711077225483	49667.11077225483	735.0862745098038	58797.05359726635
6	I07	2010	300.0701706166666	30007.01706166666	448.11764705882354	58797.05359726635
6	I07	2011	191.59121242058825	19159.121242058824	290.22745098039223	58797.05359726635
6	I07	2012	373.77805932647084	37377.80593264708	564.0196078431375	58797.05359726635
6	I07	2013	410.84172174142117	41084.17217414211	620.7607843137256	58797.05359726635
6	I07	2014	437.6928069044122	43769.28069044122	662.6274509803923	58797.05359726635
6	I07	2015	500.2813853095589	50028.13853095589	757.321568627451	58797.05359726635
6	I07	2016	442.6191925950983	44261.91925950983	667.7725490196078	58797.05359726635
6	I07	2017	812.6824470549012	81268.24470549013	1223.0941176470585	58797.05359726635
6	I07	2018	616.6649617196077	61666.496171960775	926.0196078431374	58797.05359726635
6	I07	2019	394.1081740129894	39410.81740129894	590.4000000000001	58797.05359726635
6	I07	2020	537.7452761372547	53774.52761372547	805.1411764705883	58797.05359726635
7	I08	2001	155.9118802909315	15591.18802909315	198.05490196078432	5487.09031363336
7	I08	2002	174.7623431303921	17476.23431303921	221.74901960784314	5487.09031363336
7	I08	2003	109.29897558235295	10929.897558235296	138.64705882352942	5487.09031363336
7	I08	2004	118.0685849762255	11806.85849762255	149.3882352941177	5487.09031363336
7	I08	2005	97.75962038848037	9775.962038848038	124.24705882352943	5487.09031363336
7	I08	2006	106.12875593137251	10612.87559313725	134.4823529411765	5487.09031363336
7	I08	2007	107.86535398382354	10786.535398382353	137.6156862745098	5487.09031363336
7	I08	2008	105.98105785122544	10598.105785122545	134.63529411764708	5487.09031363336
7	I08	2009	92.61060356813728	9261.060356813729	117.66274509803921	5487.09031363336
7	I08	2010	70.51379951911767	7051.3799519117665	88.75686274509803	5487.09031363336
7	I08	2011	95.88782955808826	9588.782955808825	121.64705882352942	5487.09031363336
7	I08	2012	99.11632950416663	9911.632950416662	126.01960784313725	5487.09031363336
7	I08	2013	130.15884932450976	13015.884932450976	164.86274509803923	5487.09031363336
7	I08	2014	113.95370722696077	11395.370722696078	144.30588235294118	5487.09031363336
7	I08	2015	108.66895442401963	10866.895442401963	138.09411764705885	5487.09031363336
7	I08	2016	114.08310463088243	11408.310463088243	145.27450980392157	5487.09031363336
7	I08	2017	94.79823575441179	9479.82357544118	120.09803921568628	5487.09031363336
7	I08	2018	125.54499677720588	12554.499677720589	159.96862745098036	5487.09031363336
7	I08	2019	111.68851488480392	11168.851488480392	142.3372549019608	5487.09031363336
7	I08	2020	109.10560535024513	10910.560535024513	138.82745098039217	5487.09031363336
8	I10	2001	740.6499905453427	74064.99905453427	974.7803921568627	57907.754303015776
8	I10	2002	398.1567198816179	39815.67198816179	517.2078431372549	57907.754303015776
8	I10	2003	449.8730785438722	44987.307854387225	585.9254901960784	57907.754303015776
8	I10	2004	380.1400997551471	38014.00997551471	498.53725490196075	57907.754303015776
8	I10	2005	348.28997702279423	34828.99770227943	456.156862745098	57907.754303015776
8	I10	2006	285.6703267531862	28567.03267531862	372.8156862745098	57907.754303015776
8	I10	2007	302.8973847774511	30289.73847774511	395.5294117647059	57907.754303015776
8	I10	2008	321.6145515303921	32161.45515303921	421.0627450980393	57907.754303015776
